added,title,year,rating5,rating10,imdb_url
"2017-12-27","Carol","2015","1","","http://www.imdb.com/title/tt2402927/"
"2017-12-26","End of Watch","2012","3","","http://www.imdb.com/title/tt1855199/"
"2017-12-26","Marching to Zion","2015","3","","http://www.imdb.com/title/tt4532404/"
"2017-12-25","The Lord of the Rings: The Two Towers","2002","5","","http://www.imdb.com/title/tt0167261/"
"2017-12-23","The Lord of the Rings: The Fellowship of the Ring","2001","5","","http://www.imdb.com/title/tt0120737/"
"2017-12-16","September Clues","2007","3","","http://www.imdb.com/title/tt2149514/"
"2017-12-02","Born in China","2016","3","","http://www.imdb.com/title/tt4629266/"
"2017-11-24","Miracles from Heaven","2016","5","","http://www.imdb.com/title/tt4257926/"
"2017-11-22","Heaven Is for Real","2014","2","","http://www.imdb.com/title/tt1929263/"
"2017-11-21","The Ultimate Gift","2006","3","","http://www.imdb.com/title/tt0482629/"
"2017-11-17","Christian Mingle","2014","2","","http://www.imdb.com/title/tt3398066/"
"2017-11-16","The Case for Christ","2017","5","","http://www.imdb.com/title/tt6113488/"
"2017-11-11","Noah","2014","2","","http://www.imdb.com/title/tt1959490/"
"2017-11-09","Fireproof","2008","5","","http://www.imdb.com/title/tt1129423/"
"2017-11-08","Me Again","2012","3","","http://www.imdb.com/title/tt1814790/"
"2017-11-05","Brother White","2012","2","","http://www.imdb.com/title/tt2171809/"
"2017-11-05","Grace Unplugged","2013","3","","http://www.imdb.com/title/tt2349460/"
"2017-11-04","The Resurrection of Gavin Stone","2016","3","","http://www.imdb.com/title/tt4902904/"
"2017-11-04","Do You Believe?","2015","4","","http://www.imdb.com/title/tt4056738/"
"2017-11-04","Evolution's Achilles' Heels","2014","5","","http://www.imdb.com/title/tt2528814/"
"2017-11-03","God's Not Dead","2014","4","","http://www.imdb.com/title/tt2528814/"
"2017-10-15","The Beguiled","2017","2","","http://www.imdb.com/title/tt5592248/"
"2017-09-29","Skyfall","2012","2","","http://www.imdb.com/title/tt1074638/"
"2017-09-25","Quantum of Solace","2008","3","","http://www.imdb.com/title/tt0830515/"
"2017-09-24","Casino Royale","2006","4","","http://www.imdb.com/title/tt0381061/"
"2017-09-24","Wrath of the Titans","2012","1","","http://www.imdb.com/title/tt1646987/"
"2017-09-24","Icarus","2017","4","","http://www.imdb.com/title/tt6333060/"
"2017-09-20","Gone with the Wind","1939","4","","http://www.imdb.com/title/tt0031381/"
"2017-09-17","Shot Caller","2017","4","","http://www.imdb.com/title/tt4633690/"
"2017-09-17","Operation Dunkirk","2017","1","","http://www.imdb.com/title/tt6836772/"
"2017-09-16","Room","2015","4","","http://www.imdb.com/title/tt3170832/"
"2017-09-15","Baby Driver","2017","5","","http://www.imdb.com/title/tt3890160/"
"2017-09-10","Dear John","2010","2","","http://www.imdb.com/title/tt0989757/"
"2017-09-09","Me Before You","2016","4","","http://www.imdb.com/title/tt2674426/"
"2017-09-09","Alena","2016","2","","http://www.imdb.com/title/tt3792884/"
"2017-09-08","Morran & Tobias - Som en skänk från ovan","2016","3","","http://www.imdb.com/title/tt5869350/"
"2017-09-06","Bridesmaids","2011","1","","http://www.imdb.com/title/tt1478338/"
"2017-09-05","Passengers","2016","3","","http://www.imdb.com/title/tt1355644/"
"2017-09-05","Hacksaw Ridge","2016","5","","http://www.imdb.com/title/tt2119532/"
"2017-09-03","Train to Busan","2016","3","","http://www.imdb.com/title/tt5700672/"
"2017-09-02","Ragnarok","2013","2","","http://www.imdb.com/title/tt2363213/"
"2017-08-27","Into the White","2012","5","","http://www.imdb.com/title/tt1876277/"
"2017-08-27","The NeverEnding Story","1984","2","","http://www.imdb.com/title/tt0088323/"
"2017-08-20","Ocean's Twelve","2004","2","","http://www.imdb.com/title/tt0349903/"
"2017-08-19","Joy","2015","3","","http://www.imdb.com/title/tt2446980/"
"2017-08-16","The Big Short","2015","5","","http://www.imdb.com/title/tt1596363/"
"2017-08-13","The Girl on the Train","2016","1","","http://www.imdb.com/title/tt3631112/"
"2017-08-12","Before Sunrise","1995","4","","http://www.imdb.com/title/tt0112471/"
"2017-08-12","Rogue One","2016","5","","http://www.imdb.com/title/tt3748528/"
"2017-08-11","Swiss Army Man","2016","1","","http://www.imdb.com/title/tt4034354/"
"2017-08-10","Ocean's Eleven","2001","3","","http://www.imdb.com/title/tt0240772/"
"2017-08-08","The Princess Bride","1987","4","","http://www.imdb.com/title/tt0093779/"
"2017-08-08","Logan","2017","2","","http://www.imdb.com/title/tt3315342/"
"2017-08-04","Ghost in the Shell","2017","3","","http://www.imdb.com/title/tt1219827/"
"2017-07-04","The Good, the Bad and the Ugly","1966","5","","http://www.imdb.com/title/tt0060196/"
"2017-06-28","La La Land","2016","4","","http://www.imdb.com/title/tt3783958/"
"2017-06-24","Beauty and the Beast","2017","3","","http://www.imdb.com/title/tt2771200/"
"2017-06-21","Underworld","2003","3","","http://www.imdb.com/title/tt0320691/"
"2017-06-18","The Hateful Eight","2015","5","","http://www.imdb.com/title/tt3460252/"
"2017-06-03","Zero Dark Thirty","2012","3","","http://www.imdb.com/title/tt1790885/"
"2017-05-28","Kelly's Heroes","1970","4","","http://www.imdb.com/title/tt0065938/"
"2017-05-25","Casablanca","1942","4","","http://www.imdb.com/title/tt0034583/"
"2017-05-25","Good Will Hunting","1997","3","","http://www.imdb.com/title/tt0119217/"
"2017-05-24","'71","2014","4","","http://www.imdb.com/title/tt2614684/"
"2017-05-23","Good Kill","2014","3","","http://www.imdb.com/title/tt3297330/"
"2017-05-20","The Man from U.N.C.L.E.","2015","4","","http://www.imdb.com/title/tt1638355/"
"2017-05-19","The Forest","2016","2","","http://www.imdb.com/title/tt3387542/"
"2017-05-15","Adolf Hitler: The Greatest Story Never Told","2013","4","","http://www.imdb.com/title/tt3526810/"
"2017-05-13","David Cole Interviews Dr. Franciszek Piper","1992","4","","http://www.imdb.com/title/tt3248020/"
"2017-05-13","The Blair Witch Project","1999","3","","http://www.imdb.com/title/tt0185937/"
"2017-05-01","Vertigo","1958","3","","http://www.imdb.com/title/tt0052357/"
"2017-04-28","Big Eyes","2014","2","","http://www.imdb.com/title/tt1126590/"
"2017-04-23","The Tale of the Princess Kaguya","2013","3","","http://www.imdb.com/title/tt2576852/"
